title,price,link,search_query
New HP Victus Gaming 15.6″ 144Hz FHD Ryzen 5 7535HS 16GB 512GB Radeon RX 6550M,$519.87,https://www.ebay.com/itm/305926090649?_skw=gaming+laptop&itmmeta=01JPPWJERJENXG1Q75RB711S5N&hash=item473a9daf99:g:ypAAAOSw9ahnQGCj&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dZ99eRB8RclBDDcrQvW8rjRsDU0RkhRWgp2%2FxZj1ct%2BwBz%2FpXyrNE5YRpJGU7HwLCJTa4bXmtCnnaPAxtkfoi%2BWABxjG%2BOkyPhW8VpwqFD703o8AiEHW5QsVKBu5B%2BKGKFF5nVKE4SsuvjbXoIIIkNSJ4bEhTf2GbCXuM9khaZzwEsiq3iSdYLNPs2Mh8e%2B4AKQoldnxJk0vaqRWdJjRBpW4oBdFHRmfxiaF2duueEmp85q3UsvNOMXf6pKeDeNAUC5rpe7435dnjpbpiQrDhAe1FEPUnwUOkRRlNNWKEUKw%3D%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"HP Victus Gaming 15.6"" 144Hz FHD Core i5-12450H 16GB 512GB SSD GeForce RTX 3050",$547.77,https://www.ebay.com/itm/116402078017?_skw=gaming+laptop&itmmeta=01JPPWJERJ8ZRRM02XATMF7HC2&hash=item1b1a1ac141:g:EFkAAOSw2CpnRDwS&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1ePXOWp%2Fg7gGKcANJMLnh%2FMzl%2FPVu3hNrW2v7xkgrWLk%2FyZcBWXeHrah4i3IhAdndCm%2FIegb2o2W7xMcBfTawp9HfxAmBKOEvdonoNel8W5yDw1v0Ezy5nfoX5n46VQfMe3LGpeDct7YEG0y8lliauRTwtBAGMNxEsuPDRUuyLDohxv4BJQADPbg13UyLHbvpLSI%2FVnxwSNoipnYV91nZPES16oLHE8ksGv45Dd%2BNuH%2Bc33%2FoH7MDjONqfV4U5Cgtg%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"✅Acer Nitro 5 Gaming Laptop i5-10300H RTX 2060 15.6"" FHD 144Hz 16GB 768Gb NVMe ✅",$476.44,https://www.ebay.com/itm/267152309672?_skw=gaming+laptop&itmmeta=01JPPWJERJP71YFVS4VF4MG4V2&hash=item3e3384bda8:g:kREAAOSwNaBnqvGJ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dbP%2ButHvSnCP%2FgYI7a8PiRNDshP3roO0%2F8bM8oPhZ1vLjjQdxn3%2FQP87o4R%2F3z03MghCDMXS5fvBQ7GbUS%2B0BvVv09j6p79kBSnn8V%2FBfX4I5V08aNlYw36l8ANF7YC5enfMUxCfr%2BgpwgzL809JlWRrkYa8PkEytk2%2Befg15R%2BO55X3SYedlhU9iEpBvrHTH6DK5VIJH7%2BvJLQ0%2BmYi4OFUcRClfMRswIW3hz7EnM%2FRAlkGguXfBVOfE7TKqQVPwWHjC8AqSVsYR6aJRXePlQe%2F%2BCRFeZKVXBb96tZPADXw%3D%3D%7Ctkp%3ABFBMzuzJ3LVl,gaming laptop
"HP ProBook 14"" HD Laptop Computer Intel i5 Up To 32GB RAM 1TB SSD Windows 11 Pro",$168.78 to $336.78,https://www.ebay.com/itm/286393092388?_skw=gaming+laptop&itmmeta=01JPPWJERJWCKS69MHJPX7HQSZ&hash=item42ae5bc924:g:fjMAAOSw14BnzGG-&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ekDyH5pmojpnNdbUxC%2FVhJgEKbg2eMC38dnkgGIZyFpkCWhBMB%2B0q3NwOsAYQGmb13HdH6%2B3QS0aphybrpEAQCkD%2BsxbMxd2b%2Bgfzj9fxYKW%2BmW1SeQuZqiBTE2EBTBAPm6ZFHqXChinOSrH7IWfqCUKFqQDMQE3iavyTar9fe8Jg6TQWNfqPXpwJeA57PFRSLx0CAGB77TlHMCXptU%2BfqyR%2FrPySQJoVT%2BOfuua3bdiQvtPWQTahb1Mm9TNCJPW42%2FpspKLS6kNPhQ5%2FLfLi8WBZhugXbUuGYV5SneT7L3w%3D%3D%7Ctkp%3ABFBMzuzJ3LVl,gaming laptop
"CHUWI - 14.1"" Laptop - Intel Celeron 2.8GH- 8GB Memory - 256GB SSD - HDMI Silver",$118.80,https://www.ebay.com/itm/335503508427?_skw=gaming+laptop&itmmeta=01JPPWJERJ194FK1X08SJ96WX5&hash=item4e1d9143cb:g:zfwAAOSwFflmC-Nt&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eUtLVYHrR9qKFpU%2Fzq4tIFJUkies5zA2V2vKeG%2BU%2FRwAmK%2FlHMIuNwMGbI%2FJdlJP9LOuWArC77neviC0LYEqJx7CE6U%2BEcJIvsIslaP%2BTlsm1ulUlHEbZ30j9WjL%2FpG0wET058cSztMukbLBE5P7w%2Fdool0CdQ99foB2pYARefe7LpFYuaFruQ0BZdgTTG2TMeRuk4zB5lPKADij%2F370tV45FObJp3Qir7bNNu0e3i0mZqt1NkQ8GAYsFV7zB2JHsBywYXqZvpl9bysOBOwyJb%7Ctkp%3ABFBMzuzJ3LVl,gaming laptop
"HP ProBook 640 G5 14"" HD Laptop Computer Core i5 16GB RAM 256GB SSD Windows 11",$197.06,https://www.ebay.com/itm/283951308518?_skw=gaming+laptop&itmmeta=01JPPWJERJEZ63BDZCGBQCFRQ0&hash=item421cd11ee6:g:XxkAAOSwGlZnyPx7&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eRzkR9g7OAKOrkYwAu6BAr8vXtw3QjgeLuDYBO%2FwqcP%2B5oZvLeaZUWpCjt116Px2NAeAGzvA3MvGRd4wLinKWkYDr3H5MoIb%2BBxwqjP1ZCLKZKSQF5TQs%2FTPByEqxtJaj1VU0QCOjvjR9%2BF8EHq2aZS3UrM26Ngmp%2BTpMAitf259t%2Ff8Zy%2B6wkCBG%2FT5CRSdOW3Jaahgeu3qRUFPGyYZDqdTU%2F2YXsOdjMCfAfMkKao7oWyliQEFjmDaayx1KLufgISpopUNfH6bobS4pX0vji0w0rEgVU2Uu9Rf6g5qHhrg%3D%3D%7Ctkp%3ABFBMzuzJ3LVl,gaming laptop
"MSI Thin A15 15.6"" 144Hz Gaming Laptop Ryzen 9 8945HS RTX 4060 16GB DDR5 1TB SSD",$917.99,https://www.ebay.com/itm/296628904443?_skw=gaming+laptop&itmmeta=01JPPWJERJ5TW7V2R7VT0SF8JA&hash=item451075e1fb:g:pH0AAOSwechnK6fZ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fX6D%2B7UFYD0J5mbquF86Sx931d8%2F1P91Xy5hGV6wrmwTppvWqHylrR6thzHmhBOSCDG4BXON%2B7tezNol6E9TKmRHqm3bzNA2X%2FLKJGbf1r5MYGV7DyNYjeurthv0FED6KU%2Bm%2B4RdSDOAMxVfcH9QMsEizXdV6TKysU9twtX2meBFKV5w3Bh2JSy840KIPZ9W0xem38%2BcPmRZUUtDPcu%2F3aKCWxI2UQyl2gO739rR1bZlKwKgVSwthf4WWPRJ4DuEPdlOsiM154qLP9Xs%2FTFCyTtsWgX4Kky8TbCyZGRCISnQ%3D%3D%7Ctkp%3ABk9SR87sydy1ZQ,gaming laptop
"HP Victus 15.6"" 144Hz 13th i5-13420H RTX 4050 16GB 512GB SSD W11 Gaming Laptop",$658.95,https://www.ebay.com/itm/116392225268?_skw=gaming+laptop&itmmeta=01JPPWJERJM1DJ51T8YHR9XZFA&hash=item1b198469f4:g:KFQAAOSwlX1nNpzg&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1e1vZ1TV5rWc4toQW9gWw0ZctA4VDzu7ubrNZ2gNLLvXKHV85A4pLCzbTOvKgmLGjYDI85L10f1J3vROyizkxirsDxTIzs9Naj7fIF8jA7huTqq9wEiuSNn3IitrwrsYIMW%2FUDT0Cgh51u0RkvwsobgGpoeHFLN2jZGvSJcOetqExlCjRRL8Oqs6Eyzl70vlo1fG6J93MSJrzcOlEQtgHpzxG08AH9IxkvlWAD8o3zjq9s3r2OH5eLe1GCHGbbGkZw%3D%7Ctkp%3ABk9SR87sydy1ZQ,gaming laptop
"MSI GF63 Thin 15 15.6"" i5 10500H, 16GB DDR4, 256GB SSD, GTX1650 Gaming Laptop",$384.66,https://www.ebay.com/itm/256857693596?_skw=gaming+laptop&itmmeta=01JPPWJERJX94TBJ1J3AW45K6C&hash=item3bcde95d9c:g:OK0AAOSwLoBn1Jhx&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fJ6qJBC%2FvlW%2BAiwfFhb5C94ygQZyMEodj2TUHhCE%2BDEDFJfAcLGBhofWHwDtzZu2a3oWfMV2owQurk1SMwd0U1A4Z9Goj2UYrJ4CxATFenAyCPFnnzJdVPaTlzKyWb7fqcXUs6V%2BkWVNPEeAcpuBe5P%2FdIsfKK%2BikuhM79B9HUB%2F1Bmj4VLBUiXwNk271wYl38ZT5%2BWE44QoSbzMrTXKQt1jKTKFAyBajkLpiN0QwZkDZ0hx%2FUWTdxrxWCwKTgPTo%3D%7Ctkp%3ABk9SR87sydy1ZQ,gaming laptop
"Acer Nitro 5 15.6"" FHD, i5 9300H, 16GB DDR4, 256GB SSD, GTX 1050, Gaming Laptop",$314.72,https://www.ebay.com/itm/256857685900?_skw=gaming+laptop&itmmeta=01JPPWJERJ7801G8JPA8KRJWAE&hash=item3bcde93f8c:g:oAMAAOSwTYNn1JYg&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eeLV3ZlpzHOzATCyiVjXTeGcfh7JWpvzfgpKoUB%2FzL26wV55jMCSyealls459v3MwthkUX4e%2FjoIUe6HaZshVcj9PmR%2FKsUuAxiyFRCOOp8THcLc6IsoVQYoKQsl4cmFuv2dgDu5ewhggINPjWwJTkqNBQ%2Fqr6pQJMe8zvV8aElX%2Fmmhl2jXKP55g7mv%2F9jvziNW1ib1kBGSLpkWdXqkjAegy2LtdOJLyU39HEUVpKWTWtM4ZoWg%2B7BQ97JsfnuyE%3D%7Ctkp%3ABk9SR87sydy1ZQ,gaming laptop
